group,fault,first,second,relative_objective_difference,both_model_pass,A2_value_pass
hand,0,r7-recovery-8c316077-eb5a-488a-8765-9b1e0b3ff590,r7-recovery-995c4867-206d-48af-8ffb-575322854ec8,5.7487019505010273e-11,true,true
hand,0,r7-recovery-8c316077-eb5a-488a-8765-9b1e0b3ff590,r7-recovery-c04d90a9-d6d7-4fc6-8de5-3c68011f5e57,0.0,true,true
hand,1,r7-recovery-8ab820fe-6be1-434c-a334-f865ff1d0c99,r7-recovery-cd18f621-9f34-4b12-b041-41c574ca01e8,1.4774437229192472e-10,true,true
hand,1,r7-recovery-8ab820fe-6be1-434c-a334-f865ff1d0c99,r7-recovery-9b0398c3-a8dc-457f-a106-04c6e8590f0c,0.0,true,true
reserve_event_1,0,r7-recovery-ac77adba-631c-4f29-b792-314508ca7fd1,r7-recovery-a2b9496d-3399-474b-9150-52026a119849,3.259523080784913e-12,true,true
reserve_event_1,0,r7-recovery-ac77adba-631c-4f29-b792-314508ca7fd1,r7-recovery-d090652b-1848-4fd7-ab98-c40cb55ed770,0.0,true,true
reserve_event_1,1,r7-recovery-56b781eb-1ac1-49c8-8caa-fdd9aaa306e3,r7-recovery-71b78d93-7183-4d6c-8d9f-c1b5927c242d,1.1454770465491038e-10,true,true
reserve_event_1,1,r7-recovery-56b781eb-1ac1-49c8-8caa-fdd9aaa306e3,r7-recovery-43897d97-122f-4061-87f5-c60ce6159b74,0.0,true,true
reserve_event_2,0,r7-recovery-24897e64-bd8a-47a2-a09a-4903f009cd9f,r7-recovery-8e3737ec-b677-44a5-8baa-55d23aba27ac,5.673948366031925e-12,true,true
reserve_event_2,0,r7-recovery-24897e64-bd8a-47a2-a09a-4903f009cd9f,r7-recovery-e92fea35-6f39-48ef-b45d-8275923a4f28,0.0,true,true
reserve_event_2,1,r7-recovery-e7bad151-1d87-42d0-b1e8-0be5fa581029,r7-recovery-2481dfb2-e781-4ca9-95ec-6e359a8e0089,5.432310157260645e-11,true,true
reserve_event_2,1,r7-recovery-e7bad151-1d87-42d0-b1e8-0be5fa581029,r7-recovery-1d9a1b75-6f8f-435e-ba38-297f4c54076d,0.0,true,true
