run_id,stage,name,equation,scope,entity,t,residual,unit,tolerance,pass
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,1,4,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,1,4,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-24,model,1,4,0.0,kPa,0.001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,1,4,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,1,4,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-24,model,1,4,0.0,kPa,0.001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-24-order,model,1,4,0.0,normalized,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-21,model,2,1,0.0,kg/s,2.4999999999999998e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-43,model,2,1,0.0,kg/s,2.4999999999999998e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-17,model,2,1,9.573175585586569e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-17-original,physics,2,1,9.573175585586569e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-19:20,model,2,1,9.571787806805787e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-38,model,2,1,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,R2-load-return,model,2,1,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,2,1,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,2,1,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-24,model,2,1,0.0,kPa,0.001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,2,1,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,2,1,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-24,model,2,1,0.0,kPa,0.001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-24-order,model,2,1,0.0,normalized,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-21,model,2,2,0.0,kg/s,2.4999999999999998e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-43,model,2,2,0.0,kg/s,2.4999999999999998e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-17,model,2,2,6.306344335627045e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-17-original,physics,2,2,6.306344335627045e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-19:20,model,2,2,6.304956556846264e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-38,model,2,2,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,R2-load-return,model,2,2,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,2,2,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,2,2,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-24,model,2,2,0.0,kPa,0.001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,2,2,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,2,2,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-24,model,2,2,0.0,kPa,0.001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-24-order,model,2,2,0.0,normalized,1.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-21,model,2,3,0.0,kg/s,2.4999999999999998e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-43,model,2,3,0.0,kg/s,2.4999999999999998e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-17,model,2,3,6.629974347305279e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-17-original,physics,2,3,6.629974347305279e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-19:20,model,2,3,6.629696791549122e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-38,model,2,3,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,R2-load-return,model,2,3,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,2,3,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,2,3,0.0,K,0.0001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-24,model,2,3,0.0,kPa,0.001,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-41,model,2,3,0.0,K,0.0001,true
