id,run_id,stage,formula,object,time,scenario,residual,tolerance,unit,pass
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-2,CHP1,1,1,0.0,2.0e-6,MW,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-3,CHP1,1,1,0.0,2.0e-6,Mvar,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-4,CHP1,1,1,0.0,2.0e-6,MW,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-5,CHP1,1,1,0.0,2.0e-6,MW,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-11,CHP1,1,1,0.0,2.0e-6,MW,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-2,CHP1,1,2,0.0,2.0e-6,MW,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-3,CHP1,1,2,0.0,2.0e-6,Mvar,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-4,CHP1,1,2,0.0,2.0e-6,MW,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-5,CHP1,1,2,0.0,2.0e-6,MW,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-11,CHP1,1,2,0.0,2.0e-6,MW,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,R7-N1,CHP1,2,0,0.0,1.0e-6,1,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,R7-N1,CHP1,2,0,0.0,1.0e-6,1,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,R7-N1,CHP1,2,0,0.0,1.0e-6,1,true
