equation,scope,entity,t,residual,unit,tolerance,pass
3-17,model,28,5,5.551115123125783e-17,MW,6.1e-5,true
3-17-original,physics,28,5,5.551115123125783e-17,MW,6.1e-5,true
3-19:20,model,28,5,5.551115123125783e-17,MW,6.1e-5,true
3-38,model,28,5,0.0,K,0.0001,true
3-41,model,28,5,0.0,K,0.0001,true
3-41,model,28,5,0.0,K,0.0001,true
3-24,model,28,5,0.0,kPa,0.005199261864978687,true
3-41,model,28,5,0.0,K,0.0001,true
3-41,model,28,5,0.0,K,0.0001,true
3-24,model,28,5,0.0,kPa,0.005199261864978687,true
3-24-order,model,28,5,0.0,normalized,1.0e-6,true
3-21,model,28,6,0.0,kg/s,2.947222222222222e-5,true
3-43,model,28,6,0.0,kg/s,2.947222222222222e-5,true
3-17,model,28,6,1.1102230246251565e-16,MW,6.1e-5,true
3-17-original,physics,28,6,1.1102230246251565e-16,MW,6.1e-5,true
3-19:20,model,28,6,1.1102230246251565e-16,MW,6.1e-5,true
3-38,model,28,6,0.0,K,0.0001,true
3-41,model,28,6,0.0,K,0.0001,true
3-41,model,28,6,0.0,K,0.0001,true
3-24,model,28,6,0.0,kPa,0.005199261864978687,true
3-41,model,28,6,0.0,K,0.0001,true
3-41,model,28,6,0.0,K,0.0001,true
3-24,model,28,6,0.0,kPa,0.005199261864978687,true
3-24-order,model,28,6,0.0,normalized,1.0e-6,true
3-21,model,28,7,0.0,kg/s,2.947222222222222e-5,true
3-43,model,28,7,0.0,kg/s,2.947222222222222e-5,true
3-17,model,28,7,1.3877787807814457e-16,MW,6.1e-5,true
3-17-original,physics,28,7,1.3877787807814457e-16,MW,6.1e-5,true
3-19:20,model,28,7,1.3877787807814457e-16,MW,6.1e-5,true
3-38,model,28,7,0.0,K,0.0001,true
3-41,model,28,7,0.0,K,0.0001,true
3-41,model,28,7,0.0,K,0.0001,true
3-24,model,28,7,0.0,kPa,0.005199261864978687,true
3-41,model,28,7,0.0,K,0.0001,true
3-41,model,28,7,0.0,K,0.0001,true
3-24,model,28,7,0.0,kPa,0.005199261864978687,true
3-24-order,model,28,7,0.0,normalized,1.0e-6,true
3-21,model,28,8,0.0,kg/s,2.947222222222222e-5,true
3-43,model,28,8,0.0,kg/s,2.947222222222222e-5,true
3-17,model,28,8,0.0,MW,6.1e-5,true
3-17-original,physics,28,8,0.0,MW,6.1e-5,true
3-19:20,model,28,8,2.220446049250313e-16,MW,6.1e-5,true
3-38,model,28,8,0.0,K,0.0001,true
3-41,model,28,8,0.0,K,0.0001,true
3-41,model,28,8,0.0,K,0.0001,true
3-24,model,28,8,0.0,kPa,0.005199261864978687,true
