run_id,iteration,stage,equation,scope,entity,t,residual,unit,tolerance,pass
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-3:8,model,1,1,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-2,model,1,1,1.3877787807814457e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-3:8,model,1,2,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-2,model,1,2,2.0816681711721685e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-3:8,model,1,3,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-2,model,1,3,1.3877787807814457e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-3:8,model,1,4,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-2,model,1,4,4.163336342344337e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-3:8,model,2,1,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-7,model,2,1,1.3877787807814457e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-3:8,model,2,2,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-7,model,2,2,1.3877787807814457e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-3:8,model,2,3,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-7,model,2,3,1.3877787807814457e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-3:8,model,2,4,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-7,model,2,4,2.7755575615628914e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-3:8,model,3,1,2.4205558398215896e-14,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-7,model,3,1,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-3:8,model,3,2,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-7,model,3,2,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-3:8,model,3,3,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-7,model,3,3,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-3:8,model,3,4,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-7,model,3,4,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-9,model,1,1,4.163336342344337e-16,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-10,model,1,1,0.0,Mvar,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-13,model,1,1,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,R2-root-voltage,model,1,1,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-9,model,1,2,4.163336342344337e-16,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-10,model,1,2,4.440892098500626e-16,Mvar,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-13,model,1,2,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,R2-root-voltage,model,1,2,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-9,model,1,3,6.938893903907228e-16,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-10,model,1,3,4.440892098500626e-16,Mvar,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-13,model,1,3,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,R2-root-voltage,model,1,3,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-9,model,1,4,1.6653345369377348e-16,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-10,model,1,4,0.0,Mvar,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-13,model,1,4,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,R2-root-voltage,model,1,4,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-9,model,2,1,7.216449660063518e-16,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-10,model,2,1,1.249000902703301e-16,Mvar,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-13,model,2,1,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-9,model,2,2,7.771561172376096e-16,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-10,model,2,2,4.40619762898109e-16,Mvar,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-13,model,2,2,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-9,model,2,3,9.159339953157541e-16,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-10,model,2,3,2.498001805406602e-16,Mvar,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-13,model,2,3,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-9,model,2,4,6.661338147750939e-16,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-10,model,2,4,3.226585665316861e-16,Mvar,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-13,model,2,4,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-11,model,1,1,5.059158387360485e-17,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-12,model,1,1,0.0,pu,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,pre-SOC-electric,physics,1,1,2.403886915087767,pu,1.0e-6,false
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-14,model,1,1,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-11,model,1,2,3.8841542829293196e-17,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-12,model,1,2,0.0,pu,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,pre-SOC-electric,physics,1,2,2.4107347127613252,pu,1.0e-6,false
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-14,model,1,2,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-11,model,1,3,5.1797758790494974e-17,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-12,model,1,3,0.0,pu,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,pre-SOC-electric,physics,1,3,2.413904198700445,pu,1.0e-6,false
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-14,model,1,3,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-11,model,1,4,4.4303211273188925e-17,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-12,model,1,4,0.0,pu,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,pre-SOC-electric,physics,1,4,2.410040309769163,pu,1.0e-6,false
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-14,model,1,4,0.0,pu2,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,R2-grid-bounds,model,1,1,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,R2-grid-bounds,model,1,2,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,R2-grid-bounds,model,1,3,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,R2-grid-bounds,model,1,4,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-21,model,1,1,0.0,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-43,model,1,1,0.0,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-17,relaxed,1,1,2.3032964424629654e-13,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-17-original,physics,1,1,2.3032964424629654e-13,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-19:20,model,1,1,1.3877787807814457e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-37,model,1,1,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-41,model,1,1,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-41,model,1,1,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-24,model,1,1,0.0,kPa,0.001,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-41,model,1,1,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-41,model,1,1,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-24,model,1,1,0.0,kPa,0.001,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-24-order,model,1,1,0.0,normalized,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-21,model,1,2,0.0,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-43,model,1,2,0.0,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-17,relaxed,1,2,2.362415818524255e-13,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-17-original,physics,1,2,2.362415818524255e-13,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-19:20,model,1,2,4.163336342344337e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-37,model,1,2,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-41,model,1,2,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-41,model,1,2,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-24,model,1,2,0.0,kPa,0.001,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-41,model,1,2,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-41,model,1,2,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-24,model,1,2,0.0,kPa,0.001,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-24-order,model,1,2,0.0,normalized,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-21,model,1,3,0.0,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-43,model,1,3,0.0,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-17,relaxed,1,3,2.417233080365122e-13,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-17-original,physics,1,3,2.417233080365122e-13,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-19:20,model,1,3,4.163336342344337e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-37,model,1,3,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-41,model,1,3,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-41,model,1,3,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-24,model,1,3,0.0,kPa,0.001,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-41,model,1,3,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-41,model,1,3,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-24,model,1,3,0.0,kPa,0.001,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-24-order,model,1,3,0.0,normalized,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-21,model,1,4,0.0,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-43,model,1,4,0.0,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,2,3-17,relaxed,1,4,2.2497281815248016e-13,MW,3.0e-6,true
