record,run_id,iteration,key,pipe,side,scenario,segment,mass_kg,base_K,amplitude_K,rate_per_kg,from_left
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","1:0","1","R","1","1","18000.0","293.15","29.952380952380963","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","1:0","1","R","2","1","18000.0","293.15","29.952380952380963","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","1:1","1","S","1","1","18000.0","293.15","49.04761904761904","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","1:1","1","S","2","1","18000.0","293.15","49.04761904761904","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","1:1","1","R","1","1","18000.0","293.15","29.952380952380963","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","1:1","1","R","2","1","18000.0","293.15","29.952380952380963","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","2:0","1","S","1","1","18000.0","293.15","49.04761904761904","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","2:0","1","S","2","1","18000.0","293.15","41.80952380952374","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","2:0","1","R","1","1","18000.0","293.15","30.0","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","2:0","1","R","2","1","18000.0","293.15","30.0","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","2:1","1","S","1","1","18000.0","293.15","49.04761904761904","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","2:1","1","S","2","1","18000.0","293.15","41.80952380952374","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","2:1","1","R","1","1","18000.0","293.15","30.0","0.0","true"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","2:1","1","R","2","1","18000.0","293.15","30.0","0.0","true"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","1:0","1","S","1","1","18000.0","293.15","40.0","0.0","true"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","1:0","1","S","2","1","18000.0","293.15","40.0","0.0","true"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","1:0","1","R","1","1","18000.0","293.15","29.952380952380963","0.0","true"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","1:0","1","R","2","1","18000.0","293.15","29.952380952380963","0.0","true"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","1:1","1","S","1","1","18000.0","293.15","40.0","0.0","true"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","1:1","1","S","2","1","18000.0","293.15","40.0","0.0","true"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","1:1","1","R","1","1","18000.0","293.15","29.952380952380963","0.0","true"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","1:1","1","R","2","1","18000.0","293.15","29.952380952380963","0.0","true"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","2:0","1","S","1","1","18000.0","293.15","49.047619047619094","0.0","true"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","2:0","1","S","2","1","18000.0","293.15","49.047619047619094","0.0","true"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","2:0","1","R","1","1","18000.0","293.15","20.952380952380963","0.0","true"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","2:0","1","R","2","1","18000.0","293.15","20.952380952380963","0.0","true"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","2:1","1","S","1","1","18000.0","293.15","49.047619047619094","0.0","true"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","2:1","1","S","2","1","18000.0","293.15","49.047619047619094","0.0","true"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","2:1","1","R","1","1","18000.0","293.15","20.952380952380963","0.0","true"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","2:1","1","R","2","1","18000.0","293.15","20.952380952380963","0.0","true"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","1:0","1","S","1","1","18000.0","293.15","49.047619047619094","0.0","true"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","1:0","1","S","2","1","18000.0","293.15","49.047619047619094","0.0","true"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","1:0","1","R","1","1","18000.0","293.15","29.952380952380963","0.0","true"
