run_id,equation,scope,entity,t,residual,unit,tolerance,pass
cf_ct_clarabel_socp,3-19:20,model,2,5,0.0,MW,6.1e-5,true
cf_ct_clarabel_socp,3-38,model,2,5,0.0,K,0.0001,true
cf_ct_clarabel_socp,3-41,model,2,5,0.0,K,0.0001,true
cf_ct_clarabel_socp,3-41,model,2,5,0.0,K,0.0001,true
cf_ct_clarabel_socp,3-24,model,2,5,0.0,kPa,0.005199261864978687,true
cf_ct_clarabel_socp,3-41,model,2,5,0.0,K,0.0001,true
cf_ct_clarabel_socp,3-41,model,2,5,0.0,K,0.0001,true
cf_ct_clarabel_socp,3-24,model,2,5,0.0,kPa,0.005199261864978687,true
cf_ct_clarabel_socp,3-24-order,model,2,5,0.0,normalized,1.0e-6,true
cf_ct_clarabel_socp,3-21,model,2,6,0.0,kg/s,2.947222222222222e-5,true
cf_ct_clarabel_socp,3-43,model,2,6,0.0,kg/s,2.947222222222222e-5,true
cf_ct_clarabel_socp,3-17,model,2,6,0.0,MW,6.1e-5,true
cf_ct_clarabel_socp,3-17-original,physics,2,6,0.0,MW,6.1e-5,true
cf_ct_clarabel_socp,3-19:20,model,2,6,0.0,MW,6.1e-5,true
cf_ct_clarabel_socp,3-38,model,2,6,0.0,K,0.0001,true
cf_ct_clarabel_socp,3-41,model,2,6,0.0,K,0.0001,true
cf_ct_clarabel_socp,3-41,model,2,6,0.0,K,0.0001,true
cf_ct_clarabel_socp,3-24,model,2,6,0.0,kPa,0.005199261864978687,true
cf_ct_clarabel_socp,3-41,model,2,6,0.0,K,0.0001,true
cf_ct_clarabel_socp,3-41,model,2,6,0.0,K,0.0001,true
cf_ct_clarabel_socp,3-24,model,2,6,0.0,kPa,0.005199261864978687,true
cf_ct_clarabel_socp,3-24-order,model,2,6,0.0,normalized,1.0e-6,true
cf_ct_clarabel_socp,3-21,model,2,7,0.0,kg/s,2.947222222222222e-5,true
cf_ct_clarabel_socp,3-43,model,2,7,0.0,kg/s,2.947222222222222e-5,true
cf_ct_clarabel_socp,3-17,model,2,7,0.0,MW,6.1e-5,true
cf_ct_clarabel_socp,3-17-original,physics,2,7,0.0,MW,6.1e-5,true
cf_ct_clarabel_socp,3-19:20,model,2,7,0.0,MW,6.1e-5,true
cf_ct_clarabel_socp,3-38,model,2,7,0.0,K,0.0001,true
