equation,scope,entity,t,residual,unit,tolerance,pass
3-43,model,2,3,0.0,kg/s,2.4999999999999998e-6,true
3-17,model,2,3,5.273559366969494e-16,MW,3.0e-6,true
3-17-original,physics,2,3,5.273559366969494e-16,MW,3.0e-6,true
3-19:20,model,2,3,0.0,MW,3.0e-6,true
3-38,model,2,3,0.0,K,0.0001,true
R2-load-return,model,2,3,0.0,K,0.0001,true
3-41,model,2,3,0.0,K,0.0001,true
3-41,model,2,3,0.0,K,0.0001,true
3-24,model,2,3,0.0,kPa,0.001,true
3-41,model,2,3,0.0,K,0.0001,true
3-41,model,2,3,0.0,K,0.0001,true
3-24,model,2,3,0.0,kPa,0.001,true
3-24-order,model,2,3,0.0,normalized,1.0e-6,true
3-21,model,2,4,0.0,kg/s,2.4999999999999998e-6,true
3-43,model,2,4,0.0,kg/s,2.4999999999999998e-6,true
3-17,model,2,4,5.551115123125783e-17,MW,3.0e-6,true
3-17-original,physics,2,4,5.551115123125783e-17,MW,3.0e-6,true
3-19:20,model,2,4,0.0,MW,3.0e-6,true
3-38,model,2,4,0.0,K,0.0001,true
R2-load-return,model,2,4,0.0,K,0.0001,true
3-41,model,2,4,0.0,K,0.0001,true
3-41,model,2,4,0.0,K,0.0001,true
3-24,model,2,4,0.0,kPa,0.001,true
3-41,model,2,4,0.0,K,0.0001,true
3-41,model,2,4,0.0,K,0.0001,true
3-24,model,2,4,0.0,kPa,0.001,true
3-24-order,model,2,4,0.0,normalized,1.0e-6,true
3-35:36,model,S1,1,0.0,K,0.0001,true
mix-original,physics,S1,1,0.0,K,0.0001,true
3-35:36,model,S1,2,0.0,K,0.0001,true
mix-original,physics,S1,2,0.0,K,0.0001,true
3-35:36,model,S1,3,5.684341886080802e-14,K,0.0001,true
mix-original,physics,S1,3,5.684341886080802e-14,K,0.0001,true
3-35:36,model,S1,4,0.0,K,0.0001,true
mix-original,physics,S1,4,0.0,K,0.0001,true
3-35:36,model,S2,1,0.0,K,0.0001,true
mix-original,physics,S2,1,0.0,K,0.0001,true
3-35:36,model,S2,2,0.0,K,0.0001,true
mix-original,physics,S2,2,0.0,K,0.0001,true
3-35:36,model,S2,3,0.0,K,0.0001,true
mix-original,physics,S2,3,0.0,K,0.0001,true
3-35:36,model,S2,4,0.0,K,0.0001,true
mix-original,physics,S2,4,0.0,K,0.0001,true
3-35:36,model,R1,1,0.0,K,0.0001,true
mix-original,physics,R1,1,0.0,K,0.0001,true
3-35:36,model,R1,2,0.0,K,0.0001,true
mix-original,physics,R1,2,0.0,K,0.0001,true
3-35:36,model,R1,3,0.0,K,0.0001,true
mix-original,physics,R1,3,0.0,K,0.0001,true
3-35:36,model,R1,4,0.0,K,0.0001,true
mix-original,physics,R1,4,0.0,K,0.0001,true
3-35:36,model,R2,1,0.0,K,0.0001,true
mix-original,physics,R2,1,0.0,K,0.0001,true
3-35:36,model,R2,2,0.0,K,0.0001,true
mix-original,physics,R2,2,0.0,K,0.0001,true
3-35:36,model,R2,3,0.0,K,0.0001,true
mix-original,physics,R2,3,0.0,K,0.0001,true
3-35:36,model,R2,4,0.0,K,0.0001,true
mix-original,physics,R2,4,0.0,K,0.0001,true
3-23,model,1,1,0.0,kg/s,2.4999999999999998e-6,true
3-27,model,1,1,0.0,kg/s,2.4999999999999998e-6,true
3-30,model,1,1,0.0,kg/s,2.4999999999999998e-6,true
3-32,model,1,1,0.0,1,1.0e-6,true
3-28,model,1,1,0.0,1,1.0e-6,true
3-29:32,model,1,1,0.0,1,1.0e-6,true
3-31,model,1,1,0.0,1,1.0e-6,true
