id,t,residual,unit,tolerance,pass
bound-P_CHP,1,0.0,MW,2.0e-6,true
bound-P_CHP,2,0.0,MW,2.0e-6,true
bound-P_CHP,3,0.0,MW,2.0e-6,true
bound-P_CHP,4,0.0,MW,2.0e-6,true
bound-H_CHP,1,0.0,MW,2.0e-6,true
bound-H_CHP,2,0.0,MW,2.0e-6,true
bound-H_CHP,3,0.0,MW,2.0e-6,true
bound-H_CHP,4,0.0,MW,2.0e-6,true
bound-P_EB,1,0.0,MW,2.0e-6,true
bound-P_EB,2,0.0,MW,2.0e-6,true
bound-P_EB,3,0.0,MW,2.0e-6,true
bound-P_EB,4,0.0,MW,2.0e-6,true
bound-H_EB,1,0.0,MW,2.0e-6,true
bound-H_EB,2,0.0,MW,2.0e-6,true
bound-H_EB,3,0.0,MW,2.0e-6,true
bound-H_EB,4,0.0,MW,2.0e-6,true
bound-P_HP,1,0.0,MW,2.0e-6,true
bound-P_HP,2,0.0,MW,2.0e-6,true
bound-P_HP,3,0.0,MW,2.0e-6,true
bound-P_HP,4,0.0,MW,2.0e-6,true
bound-H_HP,1,0.0,MW,2.0e-6,true
bound-H_HP,2,0.0,MW,2.0e-6,true
bound-H_HP,3,0.0,MW,2.0e-6,true
bound-H_HP,4,0.0,MW,2.0e-6,true
bound-P_PV,1,0.0,MW,2.0e-6,true
bound-P_PV,2,0.0,MW,2.0e-6,true
bound-P_PV,3,0.0,MW,2.0e-6,true
bound-P_PV,4,0.0,MW,2.0e-6,true
bound-P_WT,1,0.0,MW,2.0e-6,true
bound-P_WT,2,0.0,MW,2.0e-6,true
bound-P_WT,3,0.0,MW,2.0e-6,true
bound-P_WT,4,0.0,MW,2.0e-6,true
bound-P_BS_ch,1,0.0,MW,2.0e-6,true
bound-P_BS_ch,2,0.0,MW,2.0e-6,true
bound-P_BS_ch,3,0.0,MW,2.0e-6,true
bound-P_BS_ch,4,0.0,MW,2.0e-6,true
bound-P_BS_dis,1,0.0,MW,2.0e-6,true
bound-P_BS_dis,2,0.0,MW,2.0e-6,true
bound-P_BS_dis,3,0.0,MW,2.0e-6,true
bound-P_BS_dis,4,0.0,MW,2.0e-6,true
bound-H_HS_ch,1,0.0,MW,2.0e-6,true
bound-H_HS_ch,2,0.0,MW,2.0e-6,true
bound-H_HS_ch,3,0.0,MW,2.0e-6,true
bound-H_HS_ch,4,0.0,MW,2.0e-6,true
bound-H_HS_dis,1,0.0,MW,2.0e-6,true
bound-H_HS_dis,2,0.0,MW,2.0e-6,true
bound-H_HS_dis,3,0.0,MW,2.0e-6,true
bound-H_HS_dis,4,0.0,MW,2.0e-6,true
bound-H_D_hat,1,0.0,MW,2.0e-6,true
bound-H_D_hat,2,0.0,MW,2.0e-6,true
bound-H_D_hat,3,0.0,MW,2.0e-6,true
bound-H_D_hat,4,0.0,MW,2.0e-6,true
bound-H_D,1,0.0,MW,2.0e-6,true
bound-H_D,2,0.0,MW,2.0e-6,true
bound-H_D,3,0.0,MW,2.0e-6,true
bound-H_D,4,0.0,MW,2.0e-6,true
bound-P_DH,1,0.0,MW,2.0e-6,true
bound-P_DH,2,0.0,MW,2.0e-6,true
bound-P_DH,3,0.0,MW,2.0e-6,true
bound-P_DH,4,0.0,MW,2.0e-6,true
bound-H_DH,1,0.0,MW,2.0e-6,true
bound-H_DH,2,0.0,MW,2.0e-6,true
bound-H_DH,3,0.0,MW,2.0e-6,true
bound-H_DH,4,0.0,MW,2.0e-6,true
bound-P_grid,1,0.0,MW,2.0e-6,true
bound-P_grid,2,0.0,MW,2.0e-6,true
bound-P_grid,3,0.0,MW,2.0e-6,true
bound-P_grid,4,0.0,MW,2.0e-6,true
bound-Q_grid,1,0.0,MW,2.0e-6,true
bound-Q_grid,2,0.0,MW,2.0e-6,true
bound-Q_grid,3,0.0,MW,2.0e-6,true
bound-Q_grid,4,0.0,MW,2.0e-6,true
bound-l,1,0.0,1,1.0e-6,true
bound-l,2,0.0,1,1.0e-6,true
bound-l,3,0.0,1,1.0e-6,true
bound-l,4,0.0,1,1.0e-6,true
bound-P_CHP,1,0.0,MW,2.0e-6,true
bound-P_CHP,2,0.0,MW,2.0e-6,true
bound-P_CHP,3,0.0,MW,2.0e-6,true
bound-P_CHP,4,0.0,MW,2.0e-6,true
bound-H_CHP,1,0.0,MW,2.0e-6,true
bound-H_CHP,2,0.0,MW,2.0e-6,true
bound-H_CHP,3,0.0,MW,2.0e-6,true
bound-H_CHP,4,0.0,MW,2.0e-6,true
bound-P_EB,1,0.0,MW,2.0e-6,true
bound-P_EB,2,0.0,MW,2.0e-6,true
bound-P_EB,3,0.0,MW,2.0e-6,true
bound-P_EB,4,0.0,MW,2.0e-6,true
bound-P_HP,1,0.0,MW,2.0e-6,true
bound-P_HP,2,0.0,MW,2.0e-6,true
bound-P_HP,3,0.0,MW,2.0e-6,true
bound-P_HP,4,0.0,MW,2.0e-6,true
bound-E_BS,1,0.0,MWh,2.0e-6,true
bound-E_BS,2,0.0,MWh,2.0e-6,true
bound-E_BS,3,0.0,MWh,2.0e-6,true
bound-E_BS,4,0.0,MWh,2.0e-6,true
bound-E_BS,5,0.0,MWh,2.0e-6,true
initial-E_BS,0,0.0,MWh,2.0e-6,true
ch02-015,4,0.0,MWh,2.0e-6,true
binary-BS,0,0.0,1,1.0e-6,true
bound-P_BS_ch,1,0.0,MW,2.0e-6,true
bound-P_BS_ch,2,0.0,MW,2.0e-6,true
bound-P_BS_ch,3,0.0,MW,2.0e-6,true
bound-P_BS_ch,4,0.0,MW,2.0e-6,true
bound-P_BS_dis,1,0.0,MW,2.0e-6,true
bound-P_BS_dis,2,0.0,MW,2.0e-6,true
bound-P_BS_dis,3,0.0,MW,2.0e-6,true
bound-P_BS_dis,4,0.0,MW,2.0e-6,true
bound-E_HS,1,0.0,MWh,2.0e-6,true
bound-E_HS,2,0.0,MWh,2.0e-6,true
bound-E_HS,3,0.0,MWh,2.0e-6,true
bound-E_HS,4,0.0,MWh,2.0e-6,true
bound-E_HS,5,0.0,MWh,2.0e-6,true
initial-E_HS,0,0.0,MWh,2.0e-6,true
ch02-019,4,0.0,MWh,2.0e-6,true
binary-HS,0,0.0,1,1.0e-6,true
bound-H_HS_ch,1,0.0,MW,2.0e-6,true
bound-H_HS_ch,2,0.0,MW,2.0e-6,true
bound-H_HS_ch,3,0.0,MW,2.0e-6,true
bound-H_HS_ch,4,0.0,MW,2.0e-6,true
bound-H_HS_dis,1,0.0,MW,2.0e-6,true
bound-H_HS_dis,2,0.0,MW,2.0e-6,true
bound-H_HS_dis,3,0.0,MW,2.0e-6,true
bound-H_HS_dis,4,0.0,MW,2.0e-6,true
bound-v,1,0.0,1,1.0e-6,true
bound-v,2,0.0,1,1.0e-6,true
bound-v,3,0.0,1,1.0e-6,true
bound-v,4,0.0,1,1.0e-6,true
