run_id,stage,equation,scope,entity,t,residual,unit,tolerance,pass
open_flexible--penalty-100,trading,retail_bound,model,2,2,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,retail_bound,model,2,3,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,retail_bound,model,2,3,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,retail_bound,model,2,4,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,retail_bound,model,2,4,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,retail_bound,model,2,1,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,retail_bound,model,2,1,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,retail_bound,model,2,2,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,retail_bound,model,2,2,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,retail_bound,model,2,3,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,retail_bound,model,2,3,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,retail_bound,model,2,4,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,retail_bound,model,2,4,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,devices,model,3,1,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,devices,model,3,1,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,devices,model,3,1,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,devices,model,3,1,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,devices,model,3,1,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,PV,model,3,1,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,demand,model,3,1,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,dissatisfaction_epigraph,model,3,1,0.0,MW²,1.0e-6,true
open_flexible--penalty-100,trading,demand,model,3,1,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,dissatisfaction_epigraph,model,3,1,0.0,MW²,1.0e-6,true
open_flexible--penalty-100,trading,heat_conversion,model,3,1,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-P2,model,3,1,0.0,MWh,1.2e-6,true
open_flexible--penalty-100,trading,devices,model,3,2,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,devices,model,3,2,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,devices,model,3,2,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,devices,model,3,2,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,devices,model,3,2,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,PV,model,3,2,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,demand,model,3,2,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,dissatisfaction_epigraph,model,3,2,0.0,MW²,1.0e-6,true
open_flexible--penalty-100,trading,demand,model,3,2,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,dissatisfaction_epigraph,model,3,2,0.0,MW²,1.0e-6,true
open_flexible--penalty-100,trading,heat_conversion,model,3,2,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-P2,model,3,2,0.0,MWh,1.2e-6,true
open_flexible--penalty-100,trading,devices,model,3,3,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,devices,model,3,3,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,devices,model,3,3,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,devices,model,3,3,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,devices,model,3,3,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,PV,model,3,3,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,demand,model,3,3,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,dissatisfaction_epigraph,model,3,3,0.0,MW²,1.0e-6,true
open_flexible--penalty-100,trading,demand,model,3,3,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,dissatisfaction_epigraph,model,3,3,0.0,MW²,1.0e-6,true
open_flexible--penalty-100,trading,heat_conversion,model,3,3,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-P2,model,3,3,0.0,MWh,1.2e-6,true
open_flexible--penalty-100,trading,devices,model,3,4,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,devices,model,3,4,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,devices,model,3,4,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,devices,model,3,4,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,devices,model,3,4,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,PV,model,3,4,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,demand,model,3,4,0.0,MW,3.0e-6,true
